sentence,loss
[  27 1265  232    5    3   41   43  158   22   13],0.011941310375452424
[126  15  22 277],3.5538720509418082
[ 46   5  49  14 697   2  13],3.492447177277561
[1176  312   28   17  114    2   13],3.416357921219219
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],3.3795024489370022
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],2.9022554963537686
[  2  17   9   2 385],2.832852067233668
[  2  80 201   9   2 245],2.6768525128381357
[  2 479],2.645917261851871
[  2  13 706],2.638316592482106
