sentence,accuracy
"[   8    3   12    5 1020    5   75  802    2 1884   14    5    5   10
   45 1317    9   13    3   16    5 1593   14    5   18    2   59  131
   14  914    2    5    5]",False
[   2 1496    5  103   34  909   14    2 1428  688   20    5],False
[101   3 779   5   5],False
[  5   5   3  56  83  39 177 336  14 345   2 240  23   2   5],False
[  8  40  64   2 406],False
[ 44 921  11  18   5],False
"[  12  130   42   24 1210  111   13  113   39  754 1210   17    3   41
   50    5   33    5    5]",False
[16 13  5],False
[   5   15   22 1793],False
[293  18  54   2 430  24   2 122  14 503  25  63   9  36],False
