sentence,loss
[ 70 142 124],0.0001483734099531947
[  46 1040  811   21   46  126],0.00033511444260084943
[12 16  5 13],0.0003505314887845527
[54 46 17],0.0003984627763951053
[ 14   2 353   3  12 648],0.00041770636819947433
[ 56 496  24  17   3  76 388],0.00044315946435440984
[  12 1429 1898    5  210],0.0004987956549420496
[  70 1262   17],0.0005190186956146752
[153  70 124],0.0005353652324586205
"[ 53   5   2   5  10   5  82   5   5   3 153   2   5   5 792 155  18 112
 610  15   2   5 544 238  14 394 630   3  79 153 112  17]",0.0005532971587924535
