sentence,loss
[ 70 142 124],0.0001483734099531947
[  43  116 1139   18  118    5   15    5   12   55    5   47],6.478515868307561
"[   5   51    5   14    5   18   81    5   60   32  293   14   81  656
   92   81 1175]",6.087303270011077
"[   5    3   40   71 1866   15    2    5    5    9   12   84  484   37
  626    3   38  413  512   15   10   19   14   34  241   12  108    9
    2  561    9   36  151   19   14    5   64 1515 1616]",5.594644422385572
[ 939  151  141 1874   14    2  219  513    2    5],5.579463065209795
[ 153  205  356 1626],4.678833386365111
[259  14  22 197   3   2   5],4.312288633163647
"[  43  116   80 1608   18    2  895    9    2 1762   11   16 1209   14
    2  895    9    2 1670   64   10  123   43  116 1608   18  626  249]",4.291042402428972
[   5  997    5   15   12 1488   25    8],4.264719967291401
[  16   13    8  391   18    2 1994  737    5   28 1347    8    5    8],4.066799189287954
