sentence,loss
"[  72  591   68    5   18    2  272  805   14 1799    2    5    8  117
  722   21  100  421  227]",5.123601573725107e-05
[ 70 142 124],6.31782616167987e-05
[ 17  18 113 786  17],7.883744451456794e-05
"[  31    2  577  273    3 1755  152 1739    5   18    3   43  413  129
   18   22  219]",0.00011066280371564977
[ 698   77   15  354 1286    8   22  215],0.00013124854687847346
"[ 584    3    2  415  457  610   15   90 1853  103    5   21    2    5
   10    2   73 1853   17]",0.00019320378802551954
[140  73 703],0.0003164495233858658
[153  70 124],0.00031895820032702883
[   2    5    3   63 1962   10    5  126  133],0.0003258773238019914
[  56   32 1940    3   22  219],0.00039578051321613813
