sentence,loss
[22 47],0.012853876385237804
[  2  17   9   2 385],3.499719104664063
[ 46   5  49  14 697   2  13],3.2663451940595225
[1176  312   28   17  114    2   13],3.1543256691094252
[126  15  22 277],3.1239390452222047
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],3.0445751062097663
[   5   15   22 1793],2.953961828953526
[926  21   2   5  31 503   9   5 384   5  10  12   5 192],2.9217255662473054
[  43  116 1139   18  118    5   15    5   12   55    5   47],2.897984060309204
[   2 1354],2.8390897091499028
