sentence,loss
[  27  141   34 1205    3  101    3   18   70   17],0.01203568536210998
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],3.8055765308971226
[126  15  22 277],3.1500272199653536
[  2  17   9   2 385],2.745788581813241
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],2.7365477629654404
[1176  312   28   17  114    2   13],2.711271897688011
[ 46   5  49  14 697   2  13],2.67526996784815
[  2  80 201   9   2 245],2.6260508823364015
[  2 479],2.5971544888907045
[  44  186   13  234    9    5   21 1054   17   10 1780],2.395033113170837
