sentence,accuracy
[  2   5  43 116 110],False
"[  21   12   91  176  675 1812  950 1259    5   14 1002    5    3  115
    5]",False
[ 22   5  37   2  16 249 134],False
[2 5 5],False
"[  34    5    3   56  770    0   23   83   42    2    8 1252 1703    2
  624  122    3   58   62    5   23   44    5   10    2   16    5]",False
[   2 1496    5  103   34  909   14    2 1428  688   20    5],False
[ 5 24  8],False
[   5   15   22 1793],False
[ 44 921  11  18   5],False
"[  12  130   42   24 1210  111   13  113   39  754 1210   17    3   41
   50    5   33    5    5]",False
