sentence,loss
[ 70 142 124],0.00043712626660725876
[ 153  205  356 1626],5.073311575743531
[ 14  22 262   3  61  16  17  72  20   2  25  16  26   8   8   3],4.799703052191519
[   2  620 1106   28    8],3.8419049282280353
"[ 123   39   12 1411   33  245  524  302 1458   87    2    5    3  294
    2  194    5    3   10    1   29 1331 1236    9   90   87   73 1693
   17    3   10  506    5   36 1951]",3.8183159743102264
[  78 1830    5],3.7717722262144084
[926  21   2   5  31 503   9   5 384   5  10  12   5 192],3.7552002518615293
[   2 1354],3.7467739937141893
"[  76  962  160   15  653   17   62   34  312   15 1026    5    5    3
  188    2    5]",3.713795279974721
[ 22 578  30  59 551],3.6561325630929247
