sentence,loss
[101   3  66  12 964],0.0002995327009412878
[ 46   5  49  14 697   2  13],4.782549713691627
[  43  116 1139   18  118    5   15    5   12   55    5   47],4.325334177000032
[  15   29 1003   55 1834  170    3 1280  421 1391],4.125495061109369
[1037   17    9   22  370   85],3.914860442676132
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],3.69200627099619
[  2 445 195],3.6593591021324636
[1176  312   28   17  114    2   13],3.575054559637698
"[  44    9    2    5    9   45 1096   11   14  159   18   45 1743    9
 1699]",3.5670415984500923
[   5   16    5   75  546   32   39   12 1716],3.51535113924847
