sentence,loss
[101   3  66  12 964],0.0002995327009412878
"[  21  171    3   56   54   17   18  151   39    5   79  361   19  333
    3  151  113   52   18    2 1992   18   54   17]",0.00031618788738376
[ 43   5  18  76 311   9  61 126],0.00037059343335634154
[153  70 124],0.0003846857716729151
[   8 1012  400   98  338    9  356   22],0.00044031924331155634
[54 46 17],0.0004987884742301489
[  17   19  901   93    3    5   19 1584   15    5    3   10  196],0.0005114769918157474
"[  10   82   19  276 1711   24  135   18   19   79   16   18   58  229
   14   34    5  183   12  430]",0.0005285715710457356
[  46 1040  811   21   46  126],0.0005330776485168093
[ 12 725 444   9  22   5],0.0006315359890906998
