sentence,loss
[61 17],0.008537830893594818
[ 46   5  49  14 697   2  13],3.424641278353308
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],3.4232320730702814
[  2  80 201   9   2 245],3.1874609735525326
[   5   15   22 1793],2.9928577484654495
[1176  312   28   17  114    2   13],2.943580724496783
[  2  17   9   2 385],2.922344343139293
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],2.747758732433284
[1037   17    9   22  370   85],2.6374657913614956
[   5   16    5   75  546   32   39   12 1716],2.5991069561243636
