sentence,loss
[ 43   5  18  76 311   9  61 126],6.655077496750123e-05
[ 511   29  933   23   12 1266    9  221   13],0.00021393192798095558
[ 70 142 124],0.00031121920289747096
[  2 173   9   2  47],0.0003509607723043927
"[ 328    2    5    8   30 1714   13   33   28   42    2 1279 1750   23
    2    8    2  244]",0.00041664202534186126
[  46 1040  811   21   46  126],0.0004730541217158567
[  22  338    9 1716],0.0005463977102683452
[ 29 378  21   2  16 437   9   5  13],0.0007269209917995286
[  5  15 556   5 109  12 440   9 142 211   3   2 266],0.0007297681493136297
[54 46 17],0.0007400594063558506
