sentence,loss
[ 43   5  18  76 311   9  61 126],6.655077496750123e-05
[   2  121    5   18 1394   31 1180   14 1180],4.80691932498995
[   5   16    5   75  546   32   39   12 1716],4.705834084427014
[  43  116 1139   18  118    5   15    5   12   55    5   47],4.4210072463132635
"[  44    9    2    5    9   45 1096   11   14  159   18   45 1743    9
 1699]",4.345368011154506
[259  14  22 197   3   2   5],4.325488604814501
[368 186 260 859],4.308039892501502
[ 153  205  356 1626],4.266690513616915
"[  5   3 153   8   5 238   2   5   9  42   2   8   3  27  35   2 227  18
   2   5]",4.123019619869882
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],3.90169051064021
