sentence,loss
[17],0.015869241219080784
[126  15  22 277],3.767889305126509
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],3.122655187244794
[ 46   5  49  14 697   2  13],3.0095924331008193
[1037   17    9   22  370   85],2.9320619200260714
[1176  312   28   17  114    2   13],2.82812582146172
"[   8    5   18   15   44 1818    8  883   14    2  120  122  137   20
    5    3  153   71   11    5   12  139   25    5   26 1668    9    2
  120  204    3   15   36    2  649]",2.71447700012758
[325  31   8 708],2.5744570469926673
[   5   16    5   75  546   32   39   12 1716],2.565344346493413
[  2 489  15   2   5   3],2.55331864185407
