sentence,loss
[ 70 142 124],0.000971053670779286
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],6.007282881834155
[   5   16    5   75  546   32   39   12 1716],5.024462679772007
[  2 415 789],4.755388559111729
[  44  186   13  234    9    5   21 1054   17   10 1780],4.702669512744508
[ 46   5  49  14 697   2  13],4.274059096185233
[  43  116 1139   18  118    5   15    5   12   55    5   47],4.176767741758511
[  27  261   18    2    5 1061    9    2  591   15    2    8  576  104],3.8943232195423874
[  2 541   5],3.763908326443498
"[  15   45   13    3    8   30    5 1358    3   38  153   72  776    5
   11    5   16    3   16  450    5]",3.5903766769735244
